OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
29,14221,NCSS,S1995IA177001,6/1/1995,-91.954719,40.624168,28.4,66.4,5.2,Point,4497563,588409.3,12,0.159116,-2.01001,-0.000296,9.1206,6,-88968.59,297919.8,-10737.78,-88174.03,321000.1
30,8685,NASIS,1967IA111002,22846,-91.434177,40.579401,14.1,36.333333,49.566668,Point,4493246,632524.3,7,10.506135,3.599976,-0.000469,9.246474,3,-77507.74,339335.4,15530.94,-63767.16,365127.7
31,8729,NASIS,1968IA111002,24672,-91.429672,40.588453,9.966667,24.255556,65.777779,Point,4494260,632887.3,7,2.79965,-1.589996,0.00027,6.985196,2,-76476.73,339276.7,16600.3,-62691.39,365516.8
32,8730,NASIS,1968IA111003,24672,-91.434089,40.577822,7.022222,13.9,79.077779,Point,4493072,632536.3,7,4.10301,4.330017,0.000849,6.781909,2,-77706.95,339420,15356.11,-63949.12,365130.3
33,5410,NASIS,1968IA071008,41054,-95.681139,40.637672,15.2,71.099998,13.6,Point,4501994,273268.2,15,8.111115,-40.91003,-0.002546,5.555274,3,-340983.1,-4509.989,-202417.6,-275221.2,6711.93
34,13347,NASIS,1986IA173001,31602,-94.568156,40.655217,28.299999,63,8.7,Point,4501667,367429.2,12,3.517677,2.160034,0.001103,6.266593,3,-270999.4,86936.41,-130243,-206492.7,100042
35,5474,NASIS,1989IA173023,41088,-94.491725,40.656897,29,<Null>,<Null>,Point,4501742,373894.2,12,7.697489,1.77002,0.003707,5.594627,3,-265862.7,93396.79,-126141.1,-202162.3,106542.2
36,5519,NASIS,1990IA159005,33095,-94.308861,40.686856,24,46,30,Point,4504820,389401.2,12,2.556271,-3.320007,-0.000543,8.758224,4,-252053,108173.2,-114883.1,-190123.5,122147.5
37,5262,NASIS,1992IA159002,41733,-94.166014,40.659231,26,<Null>,<Null>,Point,4501583,401431.2,12,3.215302,9.98999,0.000397,6.459052,3,-245275,120267.7,-111540.4,-185769.1,134029.3
38,6198,NASIS,1990IA053110,41793,-93.92711,40.6825,18,<Null>,<Null>,Point,4503926,421654.2,12,3.208311,12.07996,0.001351,5.715957,3,-227249.8,137576.9,-99057.81,-173264.8,154287.7
