OBJECTID *,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,VDCN_10m,IA_DHPFP,Cedar,Nish,Iowa,DesMoines,Missouri,IAphysregionsv4,X_100,Y_100
61,NASIS,1985IA159002,31239,-94.462792,40.8931,28.9,69.199997,1.9,Point,3.674682,12.26007,0.001962,6.822985,21.75098,3,-247256.8,87165.59,-180553.7,-104443.7,113204.1,13,376815.5,4527874
62,NASIS,1971IA175005,26211,-94.407886,40.9051,24.5,73.699997,1.8,Point,5.145306,16.64001,0.002287,5.909177,28.83127,3,-243225.3,91112.73,-176526.3,-100320.5,117983.7,13,381415.5,4529174
63,NASIS,1983IA159003,30524,-94.340264,40.88595,29,68.5,2.5,Point,1.451307,6.580017,0.000705,6.137137,33.65723,2,-239987.2,97212.45,-174489.1,-98191.5,122976.9,12,387115.5,4526974
64,NASIS,1982IA159001,30246,-94.401269,40.892567,35.400002,63.400002,1.2,Point,2.249661,4.289978,0.001883,9.457767,31.93726,2,-243724.8,92022.28,-177250.7,-101008.8,118115.4,13,381915.5,4527774
65,NASIS,1983IA159008,30524,-94.34455,40.885653,31.4,65.599998,3,Point,1.64282,9.410034,0.000745,6.940427,31.95923,2,-240309.2,96831.91,-174744.8,-98448.21,122587.6,12,386715.5,4526974
66,NASIS,1971IA175002,26211,-94.319278,40.905808,26.4,39.099998,34.5,Point,2.936911,4.129944,0.00036,6.152549,12.70923,3,-237233.6,98284.18,-171646.6,-95349.09,125245.4,13,388915.5,4529174
67,NASIS,1983IA159005,42474,-94.281192,40.894158,26.9,68.599998,4.5,Point,0.293425,-3.530029,-0.000186,8.270391,4.668274,5,-235500.5,101750,-170580.9,-94432.88,128027.7,12,392115.5,4527774
68,NCSS,1987IA159002,11/1/1987,-94.2374,40.85796,30.2,27.7,42.1,Point,5.963279,2.429993,-0.000194,6.703141,10.24347,3,-235093,106380.5,-171305.1,-95532.45,130713,12,395715.5,4523774
69,NASIS,1979IA129033,41101,-95.736731,40.917981,18.799999,76.099998,5.1,Point,4.324609,-11.44,-0.001255,6.212058,12.11877,3,-325842,-13727.71,-261415.8,-187670.9,6545.991,15,269515.5,4533274
70,NASIS,Y05IA003001,38279,-94.893692,40.951305,35.299999,61.200001,3.5,Point,0.071246,-0.070007,-0.000116,12.5958,3.534607,5,-268002.1,50904.22,-201687.2,-127907.4,77398.32,13,340615.5,4535074
71,NASIS,Y05IA003014,38589,-94.900887,40.928696,26.1,65.900002,8,Point,0.782873,-1.960022,-0.000382,10.08554,1.589325,6,-270180.5,51406.03,-203822.1,-129856.9,76612.79,13,339915.5,4532574
72,NASIS,Y06IA003001,38631,-94.897781,40.922779,27.700001,69.5,2.7,Point,0.644483,2.809998,-0.000328,9.47877,3.199707,1,-270421.2,52003.46,-204042.1,-129994,76903.19,13,340215.5,4531874
73,NASIS,2005IA003014,38589,-94.900886,40.928696,26.1,65.900002,8,Point,0.782873,-1.960022,-0.000382,10.08554,1.589325,6,-270180.5,51406.03,-203822.1,-129856.9,76612.79,13,339915.5,4532574
74,NASIS,1977IA129002,28138,-95.765325,40.980597,47.900002,50.5,1.6,Point,0.04506,0.27002,-0.000241,9.652472,0.30954,6,-323924.8,-17418.38,-259880.5,-186050,5308.484,8,267315.5,4540274
75,NASIS,1977IA129003,28377,-95.765356,40.986606,15.6,80.099998,4.3,Point,0,2.219971,-0.000024,15.26708,1.189484,6,-323469.8,-17520.85,-259336.3,-185622.7,5491.812,8,267415.5,4540974
76,NASIS,1979IA129007,41095,-95.523828,40.980125,26.299999,71.800003,1.9,Point,1.082653,-0.429993,-0.000277,9.409069,0.853851,6,-307200.6,761.5773,-242519.4,-168847.2,25700,14,287715.5,4539574
77,NASIS,1979IA129034,41101,-95.534183,40.973311,30.9,63.799999,5.3,Point,2.944104,-0.329956,-0.000034,10.59486,2.584259,3,-308338.3,200,-243650.6,-169981.3,24729.33,14,286815.5,4538874
78,NASIS,1979IA129036,41101,-95.556744,40.958,15.9,55.599998,28.5,Point,19.144977,-2.919983,-0.000689,7.981254,0.102173,3,-310891.5,-424.2641,-246187.4,-172525.4,22348.6,14,284815.5,4537274
79,NASIS,1976IA129002,27963,-95.522647,40.969425,23.6,38.900002,37.5,Point,18.431955,-5.580017,-0.002163,5.412291,20.8006,3,-307818.5,1170.47,-243082.3,-169431.5,25468.61,14,287715.5,4538474
80,NCSS,S1974IA129001,9/1/1974,-95.392776,40.966946,30.5,66.4,3.1,Point,2.758507,4.619934,0.000202,7.358283,51.60132,2,-299221.4,11727.75,-234116.3,-160657.3,35930.21,14,298615.5,4537874
81,NCSS,S1974IA129002,9/1/1974,-95.391388,40.96722,32.1,63.6,4.3,Point,6.070919,2.080017,0.000921,9.125793,46.1525,3,-299058.7,11923.93,-233947.5,-160492.5,36126.72,14,298815.5,4537874
82,NASIS,1972IA175004,26547,-94.296536,41.007158,31.799999,65.400002,2.8,Point,1.377673,2.920044,0.000277,8.348297,20.43445,1,-228475.7,97768.14,-161775.9,-85586.21,128031,13,391015.5,4540374
83,NASIS,1971IA175006,26206,-94.298561,40.968822,33.700001,67,23.299999,Point,1.460115,5.01001,0.000684,6.525524,8.214294,2,-231745.1,98325.23,-165214.6,-88950.44,127494.2,13,390715.5,4536074
84,NASIS,1973IA129001,26914,-95.765917,41.011961,30.5,67.699997,1.8,Point,6.026207,-0.229981,0.000145,8.163556,0.678131,3,-322000.1,-18522.42,-257466,-184282.9,6449.806,8,267415.5,4543774
85,NCSS,S2008IA003001,8/11/2008,-94.731667,41.02317,40.9,44.8,14.3,Point,1.350087,-4.859985,-0.000959,6.619938,14.05771,5,-252571.4,61439.81,-186160.8,-112137.9,91835.56,13,354415.5,4542774
86,NASIS,Y04IA003001,38092,-94.700447,41.048584,32,38.400002,29.6,Point,4.116296,6.429932,0.002615,6.122813,22.99832,3,-248691.5,63513.3,-182290.8,-108349.9,94898.89,13,357115.5,4545574
87,NASIS,1971IA175003,26210,-94.350861,41.071114,31.9,66,2.1,Point,1.150214,0.319946,0.000032,8.710483,24.86926,1,-226207.1,91886.13,-159496.6,-83734.64,124286.8,13,386515.5,4547574
88,NASIS,1971IA175008,26211,-94.3581,41.033828,37.200001,58.5,4.3,Point,4.568823,2.539978,-0.000532,6.960864,18.48276,3,-229746.6,92022.01,-163036.2,-87124.85,123106,13,385815.5,4543374
89,NASIS,1971IA175007,39173,-94.313332,41.024723,35.5,62.700001,1.8,Point,3.285331,-0.509949,0.000164,8.671135,20.06451,3,-227916.5,95948.79,-161213.4,-85135.66,126795.6,13,389615.5,4542374
90,NASIS,1971IA175001,26206,-94.2989,41.045814,31,32.299999,36.700001,Point,19.360435,3.149963,0.001775,5.673208,20.02771,3,-225406,96646.16,-158703.8,-82660.81,128212.7,13,390815.5,4544674
91,NASIS,Armstrong-IA175-02-02,39693,-94.220833,41.070835,25,65,10,Point,10.693676,1.090027,0.002875,5.027849,10.08514,3,-218992.3,102670.2,-152293.3,-76103.62,135075,13,397415.5,4547374
92,NASIS,Armstrong-IA175-03-01,39707,-94.22139,41.072498,21,57,22,Point,6.374478,4.439941,0.001685,5.173161,11.14447,3,-218917.4,102654.6,-152218.1,-76031.38,135087,13,397415.5,4547574
93,NASIS,Armstrong-IA175-03-02,39707,-94.21917,41.071945,27,68,5,Point,5.582592,6.200012,0.001029,6.009046,7.939026,3,-218785,102852.1,-152086.4,-75893.15,135285.5,13,397615.5,4547474
94,NASIS,1977IA129004,28138,-95.832225,41.087433,17.700001,14.2,68.099998,Point,0.273758,-0.359985,0.000001,14.7816,0.831787,6,-322193.1,-26925.82,-255899.4,-185163.5,2500,8,262115.5,4552374
